age,annual_income,current_savings,investment_horizon_years,number_of_dependents,investment_experience_level,risk_profile
21,1478069,662405,9,0,Beginner,Moderate
40,1061767,1375436,2,1,Intermediate,Low
67,1027963,1544231,-2,0,Intermediate,Low
37,1723032,3654932,18,0,Advanced,High
42,428150,325483,17,1,Beginner,Moderate
47,1180266,2144536,8,2,Beginner,Low
35,389275,475391,15,4,Advanced,Moderate
59,564163,1085958,6,0,Advanced,Moderate
28,1268139,770159,14,0,Beginner,Moderate
46,215448,193628,19,1,Advanced,High
34,1088312,931970,16,0,Advanced,High
43,597469,1018066,15,1,Advanced,High
40,279899,437133,18,3,Intermediate,Moderate
69,446869,1499365,-4,2,Advanced,Low
65,2457232,4020557,0,2,Beginner,Low
37,934335,1572272,12,2,Intermediate,High
62,630271,2114368,3,2,Intermediate,Low
19,1219125,1225221,4,2,Beginner,Moderate
41,1289152,1759400,10,2,Intermediate,Moderate
48,509166,1052542,17,0,Beginner,Moderate
44,4896899,11113514,16,0,Beginner,High
19,4432571,1495747,9,0,Beginner,High
31,786845,1411487,5,2,Intermediate,Moderate
21,807500,680154,16,1,Beginner,High
66,4187964,6667458,-1,0,Intermediate,Low
30,1299215,1411115,8,3,Beginner,Moderate
53,1930647,4792046,12,0,Intermediate,High
52,202652,538058,4,2,Beginner,Low
61,961242,1489843,4,2,Advanced,Low
25,3931358,2664667,11,3,Beginner,High
19,546665,528604,8,0,Beginner,Moderate
23,266132,318115,12,0,Advanced,High
48,1333761,2840405,2,1,Intermediate,Moderate
27,3895590,4646126,20,0,Intermediate,High
61,266382,366690,4,0,Advanced,Low
38,4556490,10008882,2,3,Intermediate,High
59,1439689,4460356,6,2,Intermediate,Moderate
27,2430323,3516314,8,2,Beginner,Moderate
40,733822,580545,19,2,Beginner,Moderate
20,1470863,1741219,16,0,Intermediate,High
49,1580095,2499066,1,3,Beginner,Low
37,579359,945203,3,2,Beginner,Low
27,2256786,3347325,18,0,Beginner,High
46,375252,259666,7,2,Beginner,Low
58,323340,485983,7,2,Intermediate,Low
69,738337,1447374,-4,0,Beginner,Low
68,340990,1129221,-3,2,Advanced,Low
63,1085323,1694215,2,0,Advanced,Low
51,684444,1031077,5,2,Intermediate,Moderate
54,523670,819424,11,0,Beginner,Low
37,520152,1070034,8,1,Intermediate,High
25,1317733,335036,1,0,Beginner,Low
24,3902570,1594036,8,0,Beginner,Moderate
23,3093418,4013941,6,0,Beginner,Moderate
28,533489,604753,2,0,Intermediate,Moderate
61,4481471,3973482,4,0,Intermediate,Moderate
35,314182,370669,5,2,Intermediate,Moderate
68,1032855,3992419,-3,0,Beginner,Low
59,281185,792895,4,2,Intermediate,Moderate
46,830211,870657,1,1,Intermediate,Moderate
42,815058,1086081,10,4,Beginner,Low
38,1344252,1764162,19,2,Beginner,Moderate
63,2377854,7226372,2,0,Advanced,Moderate
20,1091682,1067917,18,0,Beginner,High
35,451298,389938,6,0,Intermediate,High
41,1270214,2411504,15,0,Advanced,High
64,211602,794769,1,1,Intermediate,Low
55,1028172,770691,10,1,Beginner,Moderate
27,863347,1183328,13,0,Beginner,Moderate
44,533589,931431,7,1,Intermediate,Moderate
29,633074,533031,9,1,Intermediate,Moderate
24,2224479,2641941,2,0,Beginner,Moderate
34,884182,790448,10,1,Intermediate,High
18,1772444,853607,11,1,Beginner,High
67,955876,2242990,-2,0,Advanced,Low
43,4103189,5802174,7,1,Beginner,Moderate
32,791082,421519,6,1,Intermediate,Moderate
68,1279021,979504,-3,2,Intermediate,Low
50,1076112,2239998,9,1,Beginner,Moderate
54,337889,488014,11,0,Intermediate,Moderate
64,2790821,6459960,1,1,Beginner,Low
48,704674,685761,17,0,Intermediate,High
52,2374233,4739185,4,0,Beginner,Moderate
18,492489,235385,3,0,Beginner,Low
25,1376471,1394971,7,1,Intermediate,High
29,306239,389370,11,2,Intermediate,Moderate
36,435467,159139,12,1,Beginner,Moderate
42,1621543,2149334,18,2,Intermediate,High
49,669665,1519213,16,2,Intermediate,High
29,4875285,6643459,8,2,Intermediate,High
30,1406855,1225617,15,3,Beginner,Moderate
45,1784488,4099252,10,0,Intermediate,High
18,1340095,1025518,10,1,Beginner,Moderate
68,692252,2798954,-3,1,Intermediate,Low
23,1345653,1102629,8,0,Beginner,High
25,4697252,3379029,11,3,Advanced,High
21,2035799,2392651,4,0,Beginner,High
22,732509,486248,3,0,Intermediate,High
42,1433915,2530524,13,2,Beginner,Moderate
39,871288,1742810,5,2,Advanced,High
45,1025389,1524144,20,2,Advanced,High
56,2565538,4610550,9,2,Intermediate,Moderate
40,499734,488282,15,0,Beginner,Moderate
21,789977,963963,10,1,Beginner,Moderate
69,1044708,4123197,-4,1,Beginner,Low
21,1365417,954617,2,1,Beginner,Low
64,4799268,8096940,1,1,Intermediate,Low
38,917462,571376,1,0,Beginner,Low
54,245588,449410,11,2,Intermediate,Moderate
58,1328717,4215538,7,2,Intermediate,Moderate
19,699675,710676,11,0,Advanced,High
24,1301358,493814,1,1,Beginner,Low
66,475595,1076475,-1,1,Beginner,Low
33,431023,722288,5,1,Beginner,Moderate
34,575795,1013122,5,1,Intermediate,Moderate
37,890153,1867985,2,3,Beginner,Low
40,683996,551492,6,2,Intermediate,Moderate
51,1483443,2325782,3,0,Advanced,Moderate
28,376459,608429,17,2,Advanced,High
51,373356,448364,1,1,Advanced,Low
50,235811,315296,9,1,Intermediate,Low
43,1269197,1161526,7,4,Intermediate,Moderate
19,488047,342495,16,0,Beginner,High
40,2008537,2931412,8,4,Beginner,Moderate
58,810426,2390550,7,1,Advanced,Moderate
39,614773,734651,15,0,Beginner,Moderate
51,1400755,1608166,13,0,Advanced,Moderate
32,820075,1352463,15,1,Beginner,Moderate
27,4744643,5441347,3,0,Intermediate,High
32,3499093,1994517,11,0,Beginner,Moderate
59,370163,841019,6,0,Beginner,Low
46,607047,921314,3,3,Intermediate,Moderate
40,683045,1428623,1,1,Intermediate,Moderate
34,2055394,2801101,15,1,Beginner,Moderate
26,695126,895665,8,3,Advanced,High
67,302481,672365,-2,0,Advanced,Low
53,739126,2312042,12,0,Beginner,Low
26,1197450,1556360,14,1,Intermediate,High
33,867328,1142871,16,3,Beginner,Moderate
53,4014020,10773538,12,2,Advanced,High
65,254197,429875,0,0,Beginner,Low
68,2231876,8934892,-3,1,Intermediate,Low
50,4256073,6543585,12,1,Intermediate,High
48,3719269,5091415,14,1,Advanced,High
23,686802,780002,18,0,Intermediate,High
27,1463475,1640979,7,3,Beginner,Moderate
33,505013,806858,19,1,Beginner,High
21,3434258,3532231,13,1,Intermediate,High
39,908619,1482223,4,1,Intermediate,Moderate
30,237576,372228,2,0,Beginner,Low
33,922381,1409952,17,2,Intermediate,High
69,890720,2389153,-4,0,Intermediate,Low
46,670534,1482316,19,3,Intermediate,Moderate
23,1305382,1047574,19,1,Beginner,High
43,973802,1434705,9,2,Intermediate,Moderate
28,555806,419919,7,0,Advanced,High
41,263185,564973,8,1,Advanced,Moderate
46,885815,1017302,5,0,Intermediate,Moderate
20,311614,140652,20,0,Advanced,High
69,1378645,1995648,-4,0,Advanced,Low
27,403093,468261,12,1,Intermediate,High
18,1996376,717770,17,0,Beginner,High
69,921702,3394705,-4,1,Intermediate,Low
60,1448864,3903541,5,0,Beginner,Moderate
43,420594,895076,9,0,Intermediate,Moderate
29,214693,106100,12,3,Intermediate,Moderate
31,652060,217274,7,1,Intermediate,Moderate
42,812112,479687,3,1,Beginner,Low
25,448529,491769,3,3,Intermediate,Moderate
60,298104,271255,5,1,Advanced,Moderate
21,4475400,3158728,15,1,Beginner,High
45,1166479,2632478,18,1,Advanced,High
24,320292,214336,2,1,Beginner,Low
27,357573,119253,18,1,Intermediate,High
68,937731,3454208,-3,1,Intermediate,Low
53,882765,2124717,5,2,Intermediate,Low
19,1166897,260738,15,0,Beginner,Moderate
43,280669,316500,13,0,Intermediate,Moderate
70,862899,1728503,-5,0,Intermediate,Low
67,676712,2422675,-2,0,Intermediate,Low
31,938432,415792,3,0,Beginner,Low
33,225753,361301,17,1,Beginner,Moderate
60,207162,729716,5,2,Advanced,Moderate
59,1181381,2040827,6,0,Intermediate,Moderate
34,746209,283854,1,2,Beginner,Low
63,1623191,2250504,2,1,Intermediate,Low
39,661499,421439,18,2,Advanced,High
21,2197236,2281769,2,1,Beginner,Moderate
36,4023083,3992923,17,2,Advanced,High
19,204744,213632,19,1,Beginner,High
56,1253867,3910781,2,2,Intermediate,Moderate
26,1137352,840917,8,2,Advanced,High
36,1062518,1539064,4,0,Advanced,High
33,4682491,8839991,16,1,Beginner,High
42,1346628,809544,7,4,Intermediate,Low
65,976893,3088982,0,2,Intermediate,Low
35,606030,264085,4,1,Intermediate,Moderate
40,1239518,1595635,12,3,Intermediate,Moderate
70,1667041,4156937,-5,0,Advanced,Low
38,2473188,3521420,15,0,Beginner,Moderate
28,397213,583366,5,0,Beginner,Low
56,689407,784693,9,2,Intermediate,Moderate
58,1211344,2251917,7,0,Intermediate,Moderate
21,889232,442892,7,0,Beginner,Moderate
42,2765812,4590569,18,1,Intermediate,High
49,1183492,2198290,16,2,Advanced,High
47,958417,2224222,18,0,Advanced,High
62,802112,938660,3,1,Beginner,Low
43,759082,1658280,19,0,Intermediate,High
53,1251637,1819337,12,1,Intermediate,High
68,500233,1307424,-3,1,Advanced,Low
51,278280,303997,9,0,Intermediate,Moderate
26,887105,781320,10,0,Intermediate,High
29,1460947,776465,5,0,Intermediate,High
19,1485806,1249551,20,0,Beginner,High
55,1126777,760459,3,0,Advanced,Moderate
22,4149309,3656348,1,0,Beginner,Moderate
22,4118886,4309203,17,0,Beginner,High
69,956005,3567716,-4,1,Intermediate,Low
39,219371,435329,9,2,Beginner,Low
22,1266633,1524969,17,0,Beginner,High
21,722196,617611,20,0,Beginner,Moderate
26,2516744,824016,11,1,Advanced,High
46,883989,2379982,7,3,Intermediate,Moderate
39,914182,1743541,16,2,Intermediate,Moderate
44,1019113,1778244,13,3,Beginner,Low
27,1051449,936101,7,2,Intermediate,High
33,3192333,1567216,20,1,Intermediate,High
59,2069977,1285206,6,0,Beginner,Moderate
59,1183922,2218418,6,0,Intermediate,Moderate
68,1311202,5231136,-3,0,Intermediate,Low
27,1015566,994999,11,0,Intermediate,High
23,535327,364627,3,0,Intermediate,High
66,377702,816717,-1,0,Beginner,Low
22,427327,234295,18,1,Beginner,Moderate
23,1743424,2359292,9,0,Beginner,High
64,258738,275904,1,1,Beginner,Low
42,506933,952961,3,1,Advanced,High
68,824260,1825737,-3,0,Intermediate,Low
67,684398,808325,-2,1,Intermediate,Low
21,3488865,2885833,9,0,Beginner,Moderate
57,237756,538521,8,0,Beginner,Low
65,3894259,4806270,0,2,Intermediate,Low
49,475669,770296,11,1,Intermediate,Moderate
68,3085702,11526317,-3,1,Intermediate,Moderate
69,1217190,1318916,-4,0,Intermediate,Low
52,1319436,4032691,4,0,Intermediate,High
27,777907,218672,3,1,Beginner,Moderate
51,1184579,2485459,6,2,Advanced,High
53,1223112,2468460,4,2,Advanced,Moderate
23,277780,67532,11,1,Beginner,Moderate
60,490750,1207788,5,1,Intermediate,Moderate
63,4018412,12617575,2,0,Beginner,Low
33,741527,316228,13,2,Intermediate,Moderate
70,2610996,6412959,-5,2,Intermediate,Low
36,1447037,2422541,6,0,Beginner,Moderate
51,664029,1681430,11,0,Intermediate,Moderate
42,291578,626277,15,1,Beginner,Low
48,3525802,2382705,3,2,Intermediate,Moderate
66,1471830,4194084,-1,1,Advanced,Moderate
58,302857,808591,4,1,Intermediate,Moderate
34,1335102,1077536,20,0,Beginner,Moderate
64,346941,1304718,1,0,Advanced,Low
47,2733700,5899434,16,0,Intermediate,High
56,598422,1871743,9,2,Beginner,Low
48,526886,1130579,1,0,Advanced,Moderate
36,299411,177888,1,1,Intermediate,Moderate
52,274260,327382,8,0,Intermediate,Moderate
46,675672,968646,12,1,Beginner,Moderate
18,1034431,585280,2,0,Beginner,Moderate
21,901058,800038,5,1,Beginner,Moderate
45,942739,1652872,11,0,Beginner,Low
35,988268,494233,19,0,Beginner,High
43,1491939,3337743,11,0,Intermediate,High
57,1510053,4533256,8,0,Intermediate,Moderate
36,983458,1860910,18,0,Advanced,High
23,225989,109115,4,0,Intermediate,Moderate
18,1205714,563071,20,0,Beginner,High
25,220171,257574,13,3,Intermediate,High
50,506732,767137,4,2,Intermediate,Low
68,1381006,3040104,-3,1,Intermediate,Low
60,4897805,11708391,5,0,Beginner,Moderate
38,708783,314055,20,3,Intermediate,Moderate
41,1481002,700263,4,0,Intermediate,Moderate
42,364934,199261,6,1,Intermediate,Low
64,1169320,1581953,1,1,Advanced,Low
60,600042,2126669,4,1,Intermediate,Moderate
36,933232,500926,4,3,Beginner,Low
46,341158,850528,2,2,Beginner,Low
70,1053425,1179619,-5,0,Intermediate,Low
27,1964073,2483929,2,3,Intermediate,Moderate
29,1221167,1481423,10,2,Beginner,Moderate
50,438281,1016906,11,0,Intermediate,Moderate
24,284995,98037,1,1,Beginner,Low
34,1485272,2403313,14,0,Intermediate,High
27,202237,143808,8,1,Intermediate,Moderate
48,2675713,2901417,12,2,Advanced,High
23,835552,792305,3,0,Beginner,Moderate
34,1104035,564391,5,0,Intermediate,Moderate
67,4609398,6814436,-2,2,Intermediate,Low
54,463110,941283,11,0,Intermediate,Moderate
35,642834,1102138,8,3,Intermediate,Moderate
43,545359,1253323,16,2,Intermediate,High
66,306032,632666,-1,0,Advanced,Low
33,244129,473718,14,3,Advanced,Moderate
25,3013938,3668188,2,2,Beginner,Moderate
41,1408840,1740031,11,3,Intermediate,High
30,213833,189723,7,0,Beginner,Low
46,1163095,1711604,4,2,Intermediate,Moderate
49,332998,772766,6,0,Intermediate,Moderate
41,449029,478485,8,4,Advanced,Moderate
33,839711,418773,8,0,Beginner,Moderate
28,586838,626726,20,0,Intermediate,High
49,1898405,3799285,3,1,Advanced,High
23,742194,973297,10,0,Beginner,Moderate
52,218267,189883,4,3,Beginner,Low
50,517999,949774,14,1,Beginner,Moderate
35,684561,498746,3,1,Advanced,Moderate
54,848961,2191897,11,1,Advanced,High
30,785041,652151,17,0,Intermediate,High
27,918180,1038670,19,2,Intermediate,High
54,1289203,1296281,11,3,Advanced,Moderate
43,1455172,2443752,10,3,Intermediate,Moderate
63,4576045,3103007,2,0,Advanced,Low
34,536466,949152,15,1,Advanced,High
18,366988,261067,4,0,Beginner,Moderate
42,1321636,1167098,19,0,Intermediate,High
51,1299435,1771272,9,1,Intermediate,Moderate
56,822777,806267,4,0,Advanced,Moderate
27,836155,985463,5,0,Beginner,Moderate
37,1049094,1115342,5,3,Intermediate,Moderate
24,585391,810876,6,1,Beginner,Moderate
33,697111,1259150,9,1,Intermediate,Moderate
54,4959399,13579851,11,0,Intermediate,High
46,263571,281831,10,2,Advanced,Low
29,1037049,738953,18,0,Intermediate,High
34,873574,904194,6,2,Advanced,Moderate
65,367901,1337103,0,2,Intermediate,Low
37,583133,726762,14,4,Intermediate,Moderate
43,452720,287923,10,0,Intermediate,Moderate
65,867760,1222055,0,0,Intermediate,Low
36,1165584,519496,17,2,Intermediate,High
64,3082539,2539922,1,0,Intermediate,Low
29,577343,940021,13,0,Beginner,High
38,2734957,4245406,13,1,Intermediate,High
59,1126027,1000892,6,1,Intermediate,Moderate
51,539768,1078684,6,2,Intermediate,Low
24,583537,820237,1,0,Intermediate,Moderate
62,1319251,880055,3,1,Intermediate,Low
52,4774371,11731169,9,2,Intermediate,Moderate
32,1017397,612653,9,0,Advanced,High
18,1288050,668996,11,0,Beginner,Moderate
43,237859,160628,8,2,Intermediate,Low
52,437525,234860,6,3,Advanced,Low
42,205401,129588,10,2,Beginner,Low
59,304018,693073,3,0,Beginner,Low
32,1199003,2112345,7,1,Beginner,Moderate
39,2100467,907401,12,1,Beginner,Moderate
23,280056,84654,7,0,Intermediate,Moderate
69,655546,820707,-4,0,Beginner,Low
32,498955,936505,3,0,Beginner,Moderate
41,379178,287778,8,0,Intermediate,Moderate
38,555179,706147,16,0,Intermediate,High
24,344903,100103,6,0,Beginner,Moderate
46,374102,904046,1,2,Intermediate,Low
49,1045428,2939197,1,0,Advanced,High
49,1374819,3220862,16,2,Intermediate,High
70,862967,2305366,-5,1,Intermediate,Low
22,646421,319169,9,0,Intermediate,High
21,1164472,463259,5,0,Advanced,High
39,4389953,6125839,6,1,Intermediate,High
35,3446900,2959182,4,1,Beginner,Moderate
52,2621673,5933267,5,0,Intermediate,High
34,1167422,923033,8,1,Intermediate,High
67,1491902,1850317,-2,1,Beginner,Low
67,429616,1124817,-2,2,Intermediate,Low
41,883694,1740632,9,4,Beginner,Low
19,297446,77358,3,0,Beginner,Moderate
30,599290,736337,10,2,Beginner,Low
32,540168,877666,16,1,Beginner,Moderate
22,851536,193274,14,0,Beginner,Moderate
20,304978,129289,6,0,Beginner,Low
54,4312845,5805773,11,0,Intermediate,Moderate
54,596914,344970,11,3,Intermediate,Moderate
54,3129611,7418951,11,1,Intermediate,High
20,804539,498319,9,0,Beginner,Moderate
52,807309,1778648,11,0,Intermediate,Moderate
69,1317616,2749876,-4,1,Intermediate,Low
40,1144515,855948,16,3,Advanced,High
45,1170376,1884855,4,1,Beginner,Moderate
47,774892,1681238,7,1,Intermediate,Moderate
35,717426,445324,13,3,Beginner,Moderate
69,609576,1164557,-4,1,Intermediate,Low
53,1423682,3525470,4,2,Intermediate,Moderate
50,341995,732205,3,2,Advanced,Low
43,1282178,3306761,18,2,Beginner,Moderate
65,553783,672188,0,2,Intermediate,Low
57,3594978,5574528,8,1,Intermediate,High
34,981831,664458,1,2,Beginner,Low
57,215467,272747,8,0,Beginner,Low
24,903415,428988,19,0,Intermediate,High
25,889464,1322072,15,0,Advanced,High
70,1109711,3287222,-5,1,Advanced,Low
48,1287660,879654,15,2,Intermediate,Moderate
29,1239990,1295563,17,0,Advanced,High
65,1382927,1271141,0,0,Advanced,Low
48,1663961,2358285,8,0,Advanced,High
61,1144503,2932709,2,0,Beginner,Low
36,770106,343019,1,2,Beginner,Low
27,1475284,490690,7,3,Intermediate,Moderate
56,968200,1221553,9,0,Advanced,Moderate
29,3683493,4588356,14,0,Beginner,High
37,916424,1906579,15,2,Beginner,Moderate
54,288070,366962,4,1,Intermediate,Moderate
65,3907564,14686771,0,1,Intermediate,Low
58,1445333,3136519,7,0,Intermediate,High
24,223791,188731,20,0,Intermediate,High
69,1342716,1404549,-4,2,Beginner,Low
31,907433,1625183,20,3,Intermediate,High
28,1923232,2669554,6,2,Beginner,High
24,3996459,974699,15,0,Beginner,High
46,232987,532082,19,1,Intermediate,Moderate
27,4047078,4115920,14,0,Beginner,High
46,992217,684044,5,1,Beginner,Low
26,748264,876700,1,0,Beginner,Moderate
53,741473,1701751,12,0,Advanced,Moderate
65,499280,1431196,0,1,Intermediate,Low
27,1345448,1953724,1,0,Advanced,High
36,474250,819578,11,3,Intermediate,Moderate
48,1248760,3329647,1,1,Advanced,High
34,4468508,4422015,10,0,Beginner,Moderate
26,2999937,2972428,13,0,Intermediate,High
62,267073,981758,3,0,Advanced,Low
50,350908,693167,1,2,Beginner,Low
51,4927500,7820538,10,1,Beginner,Moderate
62,1003640,2075774,3,2,Advanced,Moderate
41,4733615,9109414,2,2,Advanced,Moderate
26,1232460,905502,6,1,Beginner,Moderate
24,1263970,376323,1,0,Beginner,Low
33,276084,507754,14,0,Advanced,High
36,347492,426519,7,2,Beginner,Low
56,1259147,2534120,9,1,Intermediate,Moderate
23,462225,298711,10,0,Beginner,Moderate
67,1376346,5164580,-2,2,Intermediate,Low
68,788992,1031694,-3,2,Advanced,Low
28,1273478,1053179,9,0,Beginner,Moderate
29,1638050,1375963,6,0,Intermediate,High
59,869820,1803590,4,2,Intermediate,Moderate
30,1167444,2047322,18,1,Intermediate,High
29,4930156,2861036,9,1,Beginner,High
38,1490436,2364615,1,4,Intermediate,Low
27,375659,384347,6,1,Beginner,Low
37,1288208,1101908,13,4,Advanced,High
67,1140447,2343354,-2,0,Advanced,Moderate
53,1238186,2041816,8,1,Intermediate,Moderate
45,492779,478571,16,2,Beginner,Low
41,418927,587836,9,4,Intermediate,Moderate
22,1332544,565447,13,0,Intermediate,High
54,433797,476083,11,0,Intermediate,Moderate
29,690554,1050380,9,1,Beginner,Moderate
52,1490283,4393241,4,1,Advanced,Moderate
57,873467,1467847,8,2,Beginner,Low
19,585675,117092,12,0,Beginner,Moderate
67,317047,1157989,-2,1,Intermediate,Low
58,1367836,3931990,7,0,Beginner,Low
62,1220627,2330822,3,1,Intermediate,Moderate
56,2749045,6307532,9,0,Intermediate,Moderate
59,1444203,4746446,6,0,Advanced,Moderate
26,1124831,1736568,11,1,Intermediate,High
39,1346786,1749002,5,2,Advanced,Moderate
64,4289291,9184417,1,1,Advanced,Moderate
22,1662344,1958658,11,1,Beginner,High
29,2441014,3347626,8,2,Beginner,Moderate
18,3152754,2826479,13,1,Beginner,High
61,1439718,3596304,1,2,Advanced,Low
39,224984,247838,8,2,Advanced,Moderate
55,767079,824393,7,2,Intermediate,Low
68,449809,1763118,-3,2,Intermediate,Low
36,461079,292194,18,2,Intermediate,Moderate
33,747583,798871,5,0,Intermediate,Moderate
48,1453470,2364359,17,2,Advanced,High
68,759151,2814863,-3,1,Intermediate,Low
20,764109,695413,14,0,Beginner,Moderate
40,1171992,1032556,3,1,Beginner,Low
59,2975122,3514399,6,1,Advanced,Moderate
35,623410,1251486,10,2,Advanced,High
43,1428457,748207,2,2,Intermediate,Low
30,667627,1096431,5,0,Intermediate,High
35,2047110,1497562,1,3,Advanced,Moderate
20,1407393,408120,17,2,Beginner,High
40,310124,300173,3,1,Advanced,Moderate
20,1335911,1004881,20,1,Beginner,High
42,753642,1678642,2,1,Intermediate,Moderate
44,219273,422869,2,0,Advanced,Low
61,811257,2407897,1,0,Intermediate,Low
44,1267814,3106585,1,1,Intermediate,Moderate
69,465037,329697,-4,2,Beginner,Low
56,324247,772700,9,1,Intermediate,Low
42,3717179,4570097,15,0,Advanced,High
41,1198484,1997192,19,1,Intermediate,High
25,1108214,350283,2,0,Intermediate,Moderate
26,1441971,656817,4,0,Intermediate,High
63,1314258,3800249,2,1,Beginner,Low
54,1334376,3896297,10,0,Intermediate,High
47,983304,1611990,18,1,Beginner,Moderate
70,3893647,5366879,-5,0,Intermediate,Low
36,765016,1289980,7,0,Beginner,Moderate
70,2535842,2231538,-5,2,Advanced,Low
33,400967,614593,3,0,Intermediate,Moderate
41,4356874,9009252,18,4,Intermediate,High
61,903238,718973,3,0,Intermediate,Low
38,375926,430972,1,4,Intermediate,Low
53,582936,498053,12,1,Intermediate,Moderate
57,855688,2488686,7,1,Intermediate,Moderate
56,447226,1277877,9,0,Intermediate,Moderate
64,690489,2479847,1,2,Beginner,Low
23,970508,370868,3,0,Beginner,Moderate
22,897080,907770,2,0,Intermediate,Moderate
31,205228,346441,17,2,Advanced,Moderate
70,3548237,7953047,-5,0,Advanced,Moderate
62,332568,544628,3,1,Beginner,Low
59,300669,811129,6,0,Intermediate,Low
67,1403337,2851267,-2,1,Advanced,Moderate
21,2303671,1561140,19,1,Beginner,High
25,964937,1112149,6,1,Beginner,Moderate
41,1454486,1945642,9,0,Advanced,Moderate
28,672276,964017,5,2,Advanced,High
34,1444591,2222822,9,0,Intermediate,Moderate
67,356085,1368087,-2,1,Intermediate,Low
38,1311834,1841893,19,0,Intermediate,High
43,342358,631877,7,2,Beginner,Low
60,973995,757475,5,0,Intermediate,Low
65,994000,3142886,0,0,Advanced,Low
61,578723,1451133,4,0,Beginner,Low
62,3425890,7231114,3,1,Intermediate,Moderate
44,795188,2050220,11,2,Intermediate,High
33,444604,436841,11,0,Beginner,Moderate
43,4613149,3326704,13,0,Intermediate,High
70,285752,479259,-5,0,Intermediate,Low
50,335021,930297,12,1,Intermediate,Moderate
48,1114316,1095512,8,2,Advanced,Moderate
65,594903,2253916,0,0,Beginner,Low
64,3128756,8805335,1,0,Intermediate,Moderate
23,433739,200436,13,0,Advanced,High
61,254123,206473,4,1,Beginner,Low
25,4153542,3492759,6,1,Beginner,High
24,287948,242797,6,0,Beginner,Moderate
51,2647725,3705481,10,1,Advanced,High
61,1238608,926744,3,0,Beginner,Low
70,485065,1909415,-5,0,Intermediate,Low
31,327519,405430,18,0,Intermediate,High
33,540126,609984,14,2,Intermediate,Moderate
60,1315234,2196609,5,0,Intermediate,Moderate
69,446311,1350192,-4,0,Beginner,Low
26,760827,720190,15,0,Intermediate,High
27,1414391,2000773,4,2,Beginner,Moderate
34,1074679,1382477,4,1,Intermediate,Moderate
29,350561,366915,13,0,Advanced,High
23,1434552,657292,18,0,Beginner,Moderate
36,588655,290084,6,0,Advanced,High
60,486877,600501,5,0,Advanced,Moderate
58,4269815,4474449,7,2,Beginner,Low
70,822088,2658015,-5,2,Advanced,Low
46,303518,318127,6,1,Beginner,Low
23,427679,430735,7,0,Beginner,Moderate
42,1484882,2436919,9,1,Advanced,High
41,1268901,1172544,16,4,Beginner,Moderate
42,498396,850044,1,1,Intermediate,Low
33,831837,1229400,12,3,Intermediate,High
69,977803,736621,-4,2,Intermediate,Low
33,2698853,3377554,4,0,Intermediate,High
23,320903,358773,14,1,Beginner,Moderate
54,1257991,1066381,4,2,Advanced,Moderate
38,239941,269864,11,2,Intermediate,Moderate
21,748897,389749,2,0,Beginner,Moderate
51,971066,2075250,2,2,Beginner,Low
45,321091,694756,7,1,Beginner,Low
55,1413034,4525198,9,0,Intermediate,High
58,780399,1578911,7,2,Intermediate,Moderate
45,823958,1702637,11,2,Intermediate,Moderate
34,271233,333755,3,2,Advanced,Moderate
31,543340,470415,2,2,Beginner,Low
24,280823,136317,7,1,Intermediate,Moderate
39,340831,723043,6,1,Intermediate,High
68,1202380,3206479,-3,1,Intermediate,Low
18,231052,174792,5,0,Beginner,Moderate
46,526659,989622,8,1,Advanced,Moderate
69,1235625,1863908,-4,1,Intermediate,Low
48,834933,1047831,2,2,Intermediate,Low
47,2871280,7049589,5,2,Intermediate,High
32,3670246,3811607,7,0,Intermediate,High
35,1451811,545230,8,4,Beginner,Low
52,451704,747575,11,0,Intermediate,Moderate
67,827735,1199847,-2,0,Intermediate,Low
47,1034247,2581370,18,0,Intermediate,High
51,1004653,1824446,4,0,Intermediate,Moderate
59,413042,1455017,6,2,Intermediate,Low
28,1067143,347426,2,0,Intermediate,Moderate
44,927647,1534663,11,2,Beginner,Moderate
41,1384643,716794,2,2,Beginner,Low
52,897100,1129105,7,3,Beginner,Low
56,411980,495805,9,1,Intermediate,Moderate
25,834776,503173,17,0,Intermediate,High
68,991321,3979767,-3,0,Intermediate,Low
35,472556,395630,5,0,Advanced,Moderate
30,4152496,2269989,19,0,Beginner,High
62,4321777,15425140,3,0,Intermediate,Moderate
41,494729,836929,11,1,Intermediate,Moderate
68,386702,639727,-3,2,Advanced,Low
40,633721,1088992,3,2,Advanced,Moderate
29,1072042,1536891,17,1,Beginner,High
66,649635,464850,-1,1,Intermediate,Low
47,1469804,1502434,10,0,Beginner,Moderate
48,2822847,5222641,6,1,Beginner,Moderate
45,1053304,1684768,7,2,Beginner,Moderate
39,251818,305076,10,3,Beginner,Low
61,1496150,1053371,4,2,Advanced,Low
45,1042981,2701248,11,0,Advanced,High
30,2544014,3491955,14,0,Beginner,High
42,277219,695844,18,2,Intermediate,High
61,1184937,3884260,4,0,Intermediate,Moderate
68,992669,2611159,-3,1,Intermediate,Low
63,885596,1540594,2,0,Intermediate,Low
24,203857,89037,17,2,Beginner,Moderate
62,1627389,2075137,3,1,Advanced,Moderate
23,1224251,1503633,6,0,Intermediate,High
41,3181891,6921736,19,1,Advanced,High
36,1364001,2604076,13,2,Advanced,High
36,1278175,2440422,8,2,Advanced,High
53,3507041,3591034,7,2,Intermediate,Moderate
