age,annual_income,current_savings,target_goal_amount,investment_horizon_years,number_of_dependents,investment_experience_level,goal_success
52,406459,772636,3439815,7,0,Intermediate,Unlikely
56,833915,2594913,14187728,9,1,Advanced,Unlikely
63,351146,930169,5376949,2,1,Beginner,Unlikely
61,829116,915630,2231533,1,2,Intermediate,Unlikely
44,642771,1061886,7608209,10,2,Intermediate,Unlikely
36,2456276,5507677,16443763,4,0,Beginner,Unlikely
62,2145936,7270334,17141436,3,0,Intermediate,Unlikely
58,1308783,2668391,14073013,7,0,Advanced,Unlikely
70,815128,424171,1574343,-5,0,Beginner,Unlikely
34,1307825,897303,4398564,10,0,Intermediate,Likely
52,977870,3633627,21406251,12,0,Intermediate,Unlikely
68,415890,180915,1056521,-3,1,Advanced,Unlikely
39,2777483,4868318,12560158,7,2,Beginner,Unlikely
54,580500,1495945,3551443,11,0,Intermediate,Likely
38,323553,427001,2691103,3,2,Intermediate,Unlikely
57,1442992,691091,1145354,8,0,Advanced,Likely
70,914671,3070427,23776654,-5,0,Intermediate,Unlikely
22,213340,348014,1300807,20,0,Beginner,Likely
53,3966413,16286643,94279896,3,1,Beginner,Unlikely
47,4205271,14770077,100000000,9,0,Beginner,Unlikely
47,608634,1263852,3143733,2,0,Beginner,Unlikely
68,372717,1508409,11156163,-3,1,Intermediate,Unlikely
18,521767,404751,997842,9,0,Intermediate,Likely
58,4011101,13083216,41788766,7,2,Advanced,Unlikely
22,600711,153812,1140968,15,0,Intermediate,Moderate
68,3206698,13113280,44402352,-3,1,Intermediate,Unlikely
36,962814,1592424,3710290,7,2,Intermediate,Moderate
49,327481,1071094,5363729,15,0,Intermediate,Likely
53,4061094,13169009,71394687,12,1,Intermediate,Unlikely
47,453849,928160,2257731,18,1,Beginner,Likely
67,635908,1208829,3044695,-2,1,Intermediate,Unlikely
69,262648,1090392,5194419,-4,0,Intermediate,Unlikely
47,979260,2187229,8767475,7,2,Beginner,Unlikely
52,1348611,2704801,5014183,1,0,Intermediate,Unlikely
37,606304,773641,1450440,12,3,Intermediate,Likely
52,744198,2273393,13892858,10,2,Intermediate,Unlikely
50,1698866,3715308,17333797,15,0,Beginner,Likely
66,978921,4391613,32146504,-1,0,Advanced,Unlikely
43,1098966,2538729,7213660,19,0,Advanced,Likely
57,893502,1801924,4521145,2,1,Advanced,Unlikely
67,3989971,16385310,57566426,-2,0,Beginner,Unlikely
42,418646,143780,758405,13,1,Intermediate,Likely
37,4071815,4064642,23640875,12,2,Beginner,Moderate
39,1139308,1634033,6584106,9,4,Intermediate,Unlikely
55,428308,1047826,5803158,10,2,Intermediate,Unlikely
48,873577,1714393,11045560,8,2,Intermediate,Unlikely
61,3077253,11011428,31975492,4,0,Intermediate,Unlikely
38,910445,2161353,11966321,1,0,Intermediate,Unlikely
62,2029230,768754,2463219,3,0,Intermediate,Moderate
49,985866,3528767,24830491,16,2,Beginner,Unlikely
33,576332,197727,443716,8,0,Intermediate,Moderate
60,760972,433622,2120259,5,0,Intermediate,Unlikely
28,574676,324647,1083674,13,2,Beginner,Moderate
47,960734,1569266,4462609,18,1,Intermediate,Likely
37,778979,1844753,9506939,14,1,Beginner,Unlikely
59,3971321,6168117,29818124,5,2,Beginner,Unlikely
30,1331417,2055483,5295286,7,0,Intermediate,Likely
53,1433017,2110033,3952566,12,0,Intermediate,Likely
59,400440,1753785,6522191,6,0,Beginner,Unlikely
54,1246267,4474546,28590242,5,1,Intermediate,Unlikely
33,350892,747890,2701500,20,0,Intermediate,Likely
60,389413,1257155,8226270,5,2,Intermediate,Unlikely
18,547781,651544,2812408,13,1,Intermediate,Likely
65,1297703,3106395,14337179,0,1,Intermediate,Unlikely
22,1299539,784708,5768684,6,0,Beginner,Unlikely
32,1989777,764952,5151163,4,1,Intermediate,Unlikely
63,211804,550628,1592922,2,0,Intermediate,Unlikely
31,2368677,2473806,11623915,10,2,Intermediate,Likely
46,232508,600591,3789779,11,2,Intermediate,Unlikely
30,268070,584315,3901603,3,1,Intermediate,Unlikely
42,304446,561875,1003067,14,1,Advanced,Likely
58,1311279,4782737,30229393,7,0,Intermediate,Unlikely
25,1195481,614034,4052859,14,1,Intermediate,Moderate
22,1457187,1854224,5998139,13,1,Beginner,Likely
45,1746432,2121024,4131860,13,2,Advanced,Likely
67,1432802,5316872,38911041,-2,0,Intermediate,Unlikely
67,1104471,2867883,11198136,-2,1,Intermediate,Unlikely
36,256501,638808,4632717,1,2,Beginner,Unlikely
55,455153,1582769,8139954,10,1,Intermediate,Unlikely
42,743287,1348150,6089330,10,2,Intermediate,Unlikely
51,1376705,898632,3585869,1,2,Intermediate,Unlikely
35,2368527,1964970,3851607,9,1,Beginner,Moderate
41,578239,1371104,10425065,18,0,Intermediate,Moderate
57,682044,503144,2621176,1,0,Beginner,Unlikely
55,742002,2389151,12208201,10,0,Advanced,Unlikely
60,744417,3260263,25621516,5,0,Intermediate,Unlikely
33,1350103,1987551,3124512,6,1,Intermediate,Likely
63,2291433,10567481,44083391,2,0,Advanced,Unlikely
49,1382406,2392102,18000518,5,0,Intermediate,Unlikely
46,336232,677192,2184820,3,2,Intermediate,Unlikely
61,915785,1140319,5965445,4,0,Intermediate,Unlikely
33,898768,453532,2036501,14,2,Advanced,Likely
50,4609656,7231245,48726871,7,2,Beginner,Unlikely
19,358008,293322,1039486,19,0,Beginner,Likely
27,757278,1439870,5773738,16,1,Intermediate,Likely
20,1310083,998184,6325869,7,0,Beginner,Unlikely
18,715177,746295,5765305,7,0,Beginner,Unlikely
20,378004,291052,731369,4,0,Beginner,Moderate
40,537459,240524,853563,5,1,Advanced,Moderate
21,380003,617852,1830029,3,0,Beginner,Unlikely
64,4639155,21344816,100000000,1,0,Beginner,Unlikely
41,207631,287179,1195728,16,2,Advanced,Likely
65,525238,444961,2517516,0,2,Beginner,Unlikely
53,769437,850764,1475595,9,3,Intermediate,Likely
69,3451542,4809556,24385285,-4,1,Intermediate,Unlikely
43,1175979,1180204,6945527,15,1,Intermediate,Likely
67,3282562,3598806,15465415,-2,1,Intermediate,Unlikely
62,606013,1440761,11023930,3,1,Intermediate,Unlikely
59,1044948,2213433,11420507,3,2,Advanced,Unlikely
56,266438,741889,5305424,6,1,Advanced,Unlikely
20,363767,204999,574006,4,0,Intermediate,Moderate
50,826696,2703323,13530603,15,1,Intermediate,Moderate
24,512480,939035,6665283,19,0,Intermediate,Moderate
58,840404,3324873,15020030,3,0,Advanced,Unlikely
57,916686,3075167,23485763,8,1,Intermediate,Unlikely
61,1081928,3823813,23353464,2,0,Beginner,Unlikely
60,1092269,4688084,32900297,2,1,Intermediate,Unlikely
45,1158473,328152,1964799,15,1,Intermediate,Likely
61,384881,728550,3102537,4,1,Advanced,Unlikely
54,319160,930738,3538508,5,3,Beginner,Unlikely
21,791302,477268,3246685,13,0,Beginner,Moderate
46,645998,934918,4795276,10,2,Intermediate,Unlikely
29,1141549,2560446,6240078,2,2,Beginner,Unlikely
45,363320,858520,4103536,10,3,Intermediate,Unlikely
40,4872452,3631125,12485218,12,3,Intermediate,Likely
38,3713810,7843123,24178746,7,4,Advanced,Unlikely
39,788034,2001996,6930601,16,3,Intermediate,Likely
65,816737,2815272,16111829,0,0,Beginner,Unlikely
45,343297,474398,3723275,14,1,Intermediate,Unlikely
54,438421,502994,3081985,9,1,Beginner,Unlikely
28,893253,1598313,12249503,6,2,Beginner,Unlikely
68,672806,2870012,11011900,-3,0,Intermediate,Unlikely
34,293254,677359,2356652,7,0,Beginner,Unlikely
18,4875272,4383418,34055528,16,0,Beginner,Moderate
70,571585,1959505,5505383,-5,0,Intermediate,Unlikely
33,1269358,2854421,20165068,15,1,Intermediate,Moderate
48,440218,511038,1187930,17,2,Intermediate,Likely
40,568769,520938,3989447,14,1,Intermediate,Moderate
38,685070,1917114,14516748,2,3,Beginner,Unlikely
18,858489,498934,2177087,15,0,Intermediate,Likely
61,674083,1445054,9128625,4,1,Intermediate,Unlikely
44,1340239,967214,4564799,7,4,Advanced,Unlikely
46,4755061,16886192,47852640,10,2,Advanced,Likely
36,376263,934053,3320937,7,2,Intermediate,Unlikely
26,1098133,1402076,4705911,13,0,Beginner,Moderate
55,2703570,3284574,23320058,10,2,Intermediate,Unlikely
62,4841098,23746522,79952597,3,0,Intermediate,Unlikely
66,1088936,1432556,2774729,-1,1,Intermediate,Unlikely
36,2212661,2299810,15039356,3,3,Intermediate,Unlikely
63,217471,463609,2432497,2,0,Beginner,Unlikely
23,1027623,940867,6249943,12,0,Intermediate,Moderate
41,3157290,6175883,45828644,17,0,Intermediate,Moderate
54,645266,1231064,7515175,6,0,Advanced,Unlikely
24,628780,981432,6781661,19,0,Beginner,Likely
66,2273623,6001168,21258967,-1,0,Advanced,Unlikely
43,1460977,3420635,27055913,7,4,Advanced,Unlikely
35,1386587,3591754,15460107,20,2,Advanced,Likely
22,638857,976379,5577252,6,1,Beginner,Unlikely
45,1992213,6423512,10624998,16,2,Advanced,Likely
45,201817,123389,567853,1,2,Intermediate,Unlikely
65,264155,1042816,4710510,0,1,Intermediate,Unlikely
50,4701973,4862376,13877968,5,3,Advanced,Moderate
67,1710151,3256980,12534766,-2,0,Intermediate,Unlikely
54,429734,1699326,6663656,2,1,Advanced,Unlikely
30,1292543,2622178,16331132,9,3,Beginner,Unlikely
35,1352153,3537306,27377894,1,2,Advanced,Unlikely
46,2659428,5149918,34627904,14,2,Intermediate,Unlikely
26,596709,157236,1077240,13,2,Beginner,Moderate
54,1845464,6980990,16881306,11,0,Beginner,Likely
37,3868033,5098159,26141338,6,2,Beginner,Unlikely
43,616966,1367982,10276372,13,2,Advanced,Unlikely
29,553656,111931,634675,5,0,Advanced,Moderate
38,3629146,7824042,42338604,7,1,Beginner,Unlikely
35,1482726,3554501,6178991,11,3,Intermediate,Likely
59,402305,882512,5169691,6,0,Beginner,Unlikely
65,410667,1527600,6316828,0,1,Advanced,Unlikely
57,524567,991583,3177970,4,0,Advanced,Unlikely
49,385422,964664,3593418,1,0,Intermediate,Unlikely
42,1131642,1105336,6689890,9,2,Beginner,Unlikely
32,1306341,2605336,17321409,20,0,Advanced,Likely
41,486518,974746,2662717,11,4,Intermediate,Moderate
52,553470,1680446,3422588,6,0,Beginner,Unlikely
20,923928,1044999,7038708,11,0,Beginner,Unlikely
57,815309,525596,3567701,8,0,Beginner,Unlikely
48,4357483,13301415,55400345,4,0,Beginner,Unlikely
63,1052791,4851044,8823715,2,0,Advanced,Unlikely
70,3496080,6985086,41499469,-5,1,Intermediate,Unlikely
56,1140281,4461968,22647984,4,2,Intermediate,Unlikely
18,3459793,3872178,14600965,15,0,Intermediate,Likely
23,483325,783603,2360546,2,0,Beginner,Unlikely
30,2730533,643725,1808833,5,1,Intermediate,Likely
36,937139,1166982,6693716,13,1,Intermediate,Moderate
46,1011599,1822952,4362294,14,2,Beginner,Likely
53,1451137,5737072,22082471,8,0,Advanced,Unlikely
49,1979742,6301398,48870792,15,2,Intermediate,Unlikely
26,1241640,407610,1881975,9,0,Intermediate,Moderate
43,302537,729173,3968633,14,4,Beginner,Unlikely
19,1361334,168242,779453,12,0,Intermediate,Likely
69,731721,2945411,4641342,-4,2,Beginner,Unlikely
58,1466439,4399556,28076122,7,2,Advanced,Unlikely
69,1014439,3178182,17418994,-4,0,Intermediate,Unlikely
50,1265168,2473322,6186043,12,1,Beginner,Moderate
27,2154669,2796190,16112632,16,3,Beginner,Moderate
53,255317,996285,7092647,12,0,Intermediate,Unlikely
62,578676,311966,2360967,3,0,Intermediate,Unlikely
48,1029231,503714,1372685,9,1,Advanced,Likely
32,361448,664544,4847665,3,0,Beginner,Unlikely
67,879900,4009478,21980848,-2,0,Intermediate,Unlikely
33,783692,1108713,8321418,10,0,Advanced,Moderate
62,436968,1706260,4927293,3,1,Intermediate,Unlikely
38,841923,517115,1771983,6,3,Advanced,Unlikely
68,265283,1411103,10458358,-3,2,Intermediate,Unlikely
39,4635719,10409245,15615228,17,2,Advanced,Likely
58,447279,1004792,4557536,7,2,Intermediate,Unlikely
63,1051191,2967218,11017163,2,1,Beginner,Unlikely
68,542744,2926424,17656180,-3,0,Intermediate,Unlikely
56,1134825,1338924,6475073,9,2,Intermediate,Moderate
38,1094525,317126,1048225,13,3,Beginner,Likely
66,978255,1794288,10734269,-1,2,Beginner,Unlikely
58,280534,788004,2327626,7,0,Beginner,Unlikely
70,374046,944933,3971580,-5,2,Intermediate,Unlikely
42,1196980,1584566,12173591,12,2,Beginner,Unlikely
49,1842587,4625610,28753413,8,0,Advanced,Unlikely
36,406987,763024,1371553,15,2,Advanced,Likely
67,596517,2625219,4247161,-2,0,Beginner,Unlikely
41,3159594,8758594,19768917,4,3,Advanced,Unlikely
30,264503,121821,350801,13,3,Advanced,Likely
20,1479323,558568,1719418,5,0,Beginner,Likely
41,792926,482708,1769811,15,2,Intermediate,Likely
70,1273520,3952768,26584105,-5,0,Intermediate,Unlikely
46,471312,805465,4061730,19,2,Advanced,Likely
20,4985201,2615083,17675508,15,1,Intermediate,Likely
44,1166930,2780905,4374430,11,4,Advanced,Likely
34,489653,907085,5602821,6,1,Beginner,Unlikely
34,1933916,949294,2754177,12,1,Intermediate,Likely
31,598427,437816,2033403,16,2,Beginner,Moderate
66,1009823,4028622,23365690,-1,1,Intermediate,Unlikely
19,1173370,455097,1047669,13,0,Beginner,Moderate
36,1056896,1787618,8776378,11,0,Intermediate,Likely
64,284666,713248,2684535,1,0,Intermediate,Unlikely
18,1004980,431135,2730604,8,0,Intermediate,Moderate
69,1461640,1409372,6716535,-4,0,Beginner,Unlikely
26,466289,449123,1834059,15,3,Advanced,Likely
31,1796158,1801425,6608747,16,0,Intermediate,Likely
22,1455282,672445,1127705,10,0,Intermediate,Likely
46,737030,1352734,10416635,7,1,Intermediate,Unlikely
38,435654,1258775,3336554,3,0,Intermediate,Unlikely
52,1296915,5207754,9495008,1,2,Advanced,Unlikely
63,315120,1210264,6629613,2,0,Advanced,Unlikely
23,590002,584959,3936997,2,0,Intermediate,Unlikely
44,3345444,4506924,23975460,11,4,Intermediate,Unlikely
40,1433662,551422,4286182,14,2,Advanced,Moderate
64,1103012,4757551,29147855,1,1,Beginner,Unlikely
26,578388,218962,887573,13,0,Intermediate,Likely
28,2481816,4711291,13775739,12,0,Advanced,Likely
23,2336127,2398313,12542897,11,1,Intermediate,Moderate
27,3058138,5379533,16172942,14,0,Beginner,Likely
70,902185,2731777,19057005,-5,1,Intermediate,Unlikely
30,434885,242989,1545351,9,0,Advanced,Moderate
69,3091760,13916779,79462551,-4,0,Advanced,Unlikely
67,414632,1731726,11495615,-2,0,Intermediate,Unlikely
69,4416849,18407497,100000000,-4,0,Beginner,Unlikely
28,1441204,2451706,17682378,1,3,Intermediate,Unlikely
35,435007,1019934,4118855,18,4,Intermediate,Likely
25,806454,775265,2338185,3,0,Advanced,Unlikely
64,1219334,5370685,29989636,1,0,Advanced,Unlikely
31,1462129,1011237,7588126,17,1,Intermediate,Likely
45,1482955,1795229,14161475,19,0,Intermediate,Likely
43,362367,273784,1828144,14,0,Intermediate,Moderate
29,3700587,7990773,15459296,16,0,Beginner,Likely
21,1235417,804834,2726005,13,0,Advanced,Likely
70,4708389,15834957,100000000,-5,0,Intermediate,Unlikely
30,1258230,1131719,5427303,6,0,Advanced,Moderate
34,441335,694194,3615335,2,1,Intermediate,Unlikely
66,664877,3099022,8833830,-1,1,Advanced,Unlikely
18,3290196,4619233,8961268,1,0,Beginner,Unlikely
38,1139844,453738,2417477,8,2,Beginner,Moderate
51,295608,315295,1043567,10,3,Advanced,Moderate
54,1052453,2979643,13975012,8,1,Beginner,Unlikely
33,494992,470859,2281759,7,2,Advanced,Unlikely
22,303316,49032,149432,13,0,Intermediate,Likely
40,654791,290765,1760201,5,2,Beginner,Unlikely
62,4689726,16799327,100000000,3,0,Beginner,Unlikely
62,2746469,11696553,71929716,3,0,Beginner,Unlikely
57,987065,4064628,17900302,8,0,Intermediate,Unlikely
20,580978,349000,1713038,12,0,Beginner,Moderate
23,298335,481554,2745419,7,0,Intermediate,Unlikely
70,3739237,1906426,10366673,-5,0,Intermediate,Unlikely
62,1342263,4684799,29855598,3,0,Advanced,Unlikely
30,817534,782723,5696328,19,0,Intermediate,Likely
66,1062328,3552262,13795412,-1,0,Advanced,Unlikely
28,949813,1715577,5293221,7,0,Advanced,Moderate
56,259284,456329,3335431,9,1,Beginner,Unlikely
60,3247858,12276612,22891248,5,1,Intermediate,Likely
40,1419219,2650983,5436040,10,2,Intermediate,Likely
68,228313,1209214,6818225,-3,2,Intermediate,Unlikely
47,1006307,1590158,11415233,8,0,Intermediate,Unlikely
67,1068153,4665282,33497896,-2,2,Beginner,Unlikely
29,945810,371747,599019,11,2,Beginner,Likely
63,732986,823665,4936455,2,0,Beginner,Unlikely
41,470369,1070457,7394489,14,1,Beginner,Unlikely
48,1148516,1299564,4866798,6,1,Advanced,Moderate
69,314876,803613,4279063,-4,0,Intermediate,Unlikely
43,1783094,2636351,10527699,10,4,Intermediate,Unlikely
45,3034616,3740772,29078430,13,0,Intermediate,Moderate
47,402379,353605,979176,6,0,Intermediate,Moderate
44,609632,740964,4846171,5,0,Beginner,Unlikely
51,255272,118167,681949,6,1,Beginner,Unlikely
53,781392,2876857,14421327,10,1,Beginner,Unlikely
47,408365,1331476,10457350,18,0,Intermediate,Moderate
21,405723,52500,125779,6,0,Beginner,Moderate
45,338099,702578,3399870,8,0,Intermediate,Unlikely
52,1564767,5342681,33209565,6,2,Beginner,Unlikely
29,2088724,1159443,5817207,11,2,Beginner,Moderate
60,970110,2965004,15139446,5,1,Beginner,Unlikely
54,215559,196372,1037241,11,0,Advanced,Moderate
43,1253019,2733418,6984490,6,1,Intermediate,Moderate
43,825499,2577265,5962464,17,3,Advanced,Likely
32,1539894,3032471,7170092,16,3,Beginner,Likely
53,563324,1378104,10506369,6,0,Advanced,Unlikely
22,373760,545572,1313345,18,0,Beginner,Likely
48,1937310,2543337,12800212,13,0,Advanced,Likely
34,2318192,744268,5131195,3,0,Intermediate,Unlikely
34,1813254,2120752,6062586,16,2,Beginner,Likely
64,3462029,12200405,46675836,1,0,Intermediate,Unlikely
68,1045306,1427517,10203865,-3,2,Intermediate,Unlikely
27,592965,478378,3701525,12,2,Beginner,Unlikely
66,395912,242501,1771724,-1,2,Advanced,Unlikely
20,630401,159363,1191695,10,0,Beginner,Moderate
43,1279120,1668390,11677265,19,4,Beginner,Unlikely
29,2033955,2205942,12482608,20,0,Beginner,Likely
35,3453324,8279696,65207151,13,0,Advanced,Moderate
53,291876,1137357,1837223,5,0,Beginner,Moderate
24,1458986,2790569,19281385,3,1,Intermediate,Unlikely
66,1140564,1844260,10090856,-1,0,Intermediate,Unlikely
46,724335,1172370,7819359,15,1,Intermediate,Moderate
62,1359768,5017740,9174091,3,2,Advanced,Unlikely
23,534097,943065,5976292,14,0,Beginner,Unlikely
25,667386,260786,413544,5,2,Intermediate,Likely
65,1362457,5087514,19523265,0,0,Intermediate,Unlikely
30,4583519,8184831,31155092,11,0,Intermediate,Likely
26,1282304,1905641,15220744,12,0,Intermediate,Moderate
37,646309,1154201,2381298,2,3,Intermediate,Unlikely
38,1409977,454555,2746628,1,3,Beginner,Unlikely
26,1129128,998229,4734223,20,2,Advanced,Likely
22,531634,166176,967689,9,0,Intermediate,Moderate
51,1179371,4544579,12047623,12,1,Intermediate,Likely
48,1204071,1772449,4962366,17,0,Beginner,Likely
59,1241173,2162164,15602200,5,2,Intermediate,Unlikely
64,1068257,1421724,3062301,1,0,Beginner,Unlikely
65,582273,1202508,9167693,0,0,Beginner,Unlikely
39,1166079,785438,3301669,14,3,Advanced,Likely
38,642587,872175,6272575,18,4,Intermediate,Unlikely
68,1457443,6494137,33805828,-3,1,Intermediate,Unlikely
31,1436812,375121,2708991,2,0,Advanced,Unlikely
37,2563490,4357880,9686581,1,0,Advanced,Unlikely
49,1077131,3543451,5502382,13,0,Advanced,Likely
55,1166419,3769758,19607359,10,0,Advanced,Unlikely
21,1271208,196041,441682,2,0,Intermediate,Unlikely
45,4267295,12288691,20284464,3,1,Intermediate,Unlikely
23,3247773,4462357,32665123,16,0,Beginner,Likely
30,467256,681269,1615631,2,1,Intermediate,Unlikely
30,515237,1069904,7041949,15,1,Intermediate,Moderate
66,1407339,5813939,31587779,-1,2,Intermediate,Unlikely
67,1302338,3530186,19005545,-2,1,Intermediate,Unlikely
27,4156736,5635920,21727805,6,1,Advanced,Unlikely
61,284448,1166425,5589429,3,2,Intermediate,Unlikely
64,3342077,12665506,80763704,1,0,Beginner,Unlikely
24,2138334,3604339,14882392,7,0,Beginner,Unlikely
53,1299404,5097149,23054012,7,1,Beginner,Unlikely
26,1102098,2150969,7322058,1,2,Beginner,Unlikely
29,809684,559453,4172273,7,3,Intermediate,Unlikely
54,254090,986830,3439585,11,3,Intermediate,Unlikely
28,257613,353488,2311984,9,3,Intermediate,Unlikely
25,541971,404684,2408691,16,0,Intermediate,Likely
57,1283980,4624959,31409620,1,0,Beginner,Unlikely
27,1301907,1974992,9372138,19,1,Beginner,Likely
31,1222799,2041881,9474615,15,2,Advanced,Likely
42,766421,1529329,5578658,4,0,Beginner,Unlikely
70,727697,1939182,12507261,-5,2,Intermediate,Unlikely
49,936877,731575,1268095,9,1,Beginner,Likely
57,4119160,10091475,76518497,2,2,Advanced,Unlikely
64,1387949,5944537,28384359,1,0,Intermediate,Unlikely
41,842145,465742,1048350,2,0,Intermediate,Unlikely
31,484090,375352,1650510,4,2,Beginner,Unlikely
53,449204,318065,1916918,12,0,Intermediate,Moderate
29,278294,254473,1322862,18,0,Beginner,Moderate
41,1186497,3254316,12796673,2,1,Advanced,Unlikely
65,843947,1128505,8679641,0,0,Beginner,Unlikely
49,1008620,934439,2437865,16,3,Intermediate,Likely
22,1350140,636948,1433280,17,0,Beginner,Likely
25,398167,185972,293868,12,0,Advanced,Likely
49,618105,447902,810131,14,0,Beginner,Moderate
33,1438194,1187158,6299374,7,0,Intermediate,Unlikely
48,1323065,2683616,12202375,2,2,Intermediate,Unlikely
21,1051120,795513,1323389,18,0,Beginner,Likely
62,1367206,4796029,19027177,3,1,Intermediate,Unlikely
52,1384830,5259181,18935940,13,0,Intermediate,Moderate
28,888601,1809194,5628840,12,1,Beginner,Moderate
34,398036,971145,2773211,2,2,Intermediate,Unlikely
31,1144259,1405515,5899964,1,0,Beginner,Unlikely
33,1047599,1407912,8862399,11,1,Beginner,Moderate
29,445070,838541,3377254,5,3,Beginner,Unlikely
30,277759,133897,997704,12,1,Advanced,Moderate
27,870883,1396375,4992644,5,0,Intermediate,Unlikely
38,4711765,6972843,17928526,2,2,Intermediate,Unlikely
44,2423419,7166094,50365117,2,3,Advanced,Unlikely
58,809921,1665089,8375854,7,0,Intermediate,Unlikely
45,700754,853832,2662692,13,0,Advanced,Likely
24,428905,145140,586833,19,0,Beginner,Likely
52,517815,654071,2003537,6,0,Advanced,Moderate
38,1333464,3811767,28075413,8,3,Advanced,Unlikely
64,1129017,1230809,8479461,1,0,Advanced,Unlikely
67,495477,2212926,10198770,-2,1,Intermediate,Unlikely
69,1427922,934034,1648608,-4,0,Advanced,Unlikely
59,331976,1210966,2076871,6,2,Intermediate,Likely
61,1073249,3867643,23992849,4,0,Intermediate,Unlikely
67,1868073,10002852,16960205,-2,0,Intermediate,Unlikely
19,1365605,575285,3500901,6,0,Beginner,Unlikely
24,686362,574938,3533217,11,0,Beginner,Unlikely
49,393195,1006530,7133038,7,0,Intermediate,Unlikely
28,346275,526948,3811915,19,2,Beginner,Moderate
25,719868,362659,2707327,2,3,Beginner,Unlikely
26,1437300,2316178,3519533,4,1,Intermediate,Moderate
26,1180095,616666,4228694,5,0,Advanced,Unlikely
37,615819,1090873,3013104,14,0,Beginner,Moderate
68,1588428,6208383,36643524,-3,1,Intermediate,Unlikely
50,473005,1612226,9673786,15,1,Advanced,Moderate
56,1660031,6336872,21130361,9,2,Beginner,Unlikely
35,352933,833959,5674330,6,1,Beginner,Unlikely
41,1256507,2833145,5089282,7,2,Intermediate,Likely
58,364501,697462,2182331,7,1,Beginner,Unlikely
18,1083274,130379,673676,7,0,Advanced,Likely
45,479324,1387717,7486932,2,0,Advanced,Unlikely
29,839201,1792855,8004724,17,1,Intermediate,Likely
55,420157,1660082,6057876,10,2,Advanced,Unlikely
27,407019,689866,2077060,10,1,Intermediate,Moderate
21,639861,911268,2888184,14,0,Beginner,Moderate
64,851586,2204957,14646193,1,1,Advanced,Unlikely
65,2207368,2121782,11572339,0,1,Beginner,Unlikely
45,318211,620957,2910699,17,2,Intermediate,Likely
51,953065,3196698,6267188,14,2,Intermediate,Likely
48,1194396,799285,4831009,14,1,Advanced,Likely
61,440359,1615392,10863843,4,0,Intermediate,Unlikely
53,705772,2795655,15575066,7,2,Advanced,Unlikely
52,4718075,18616428,62502577,13,2,Advanced,Likely
56,408489,1644064,12198615,6,2,Intermediate,Unlikely
39,1226170,3065047,7219131,8,3,Beginner,Moderate
54,588557,2269201,3948314,11,1,Beginner,Moderate
18,394950,525754,2025628,10,0,Intermediate,Moderate
60,2850393,7139984,51939340,5,0,Intermediate,Unlikely
56,865811,2400066,4746044,9,0,Beginner,Moderate
69,440277,1164694,2636023,-4,1,Beginner,Unlikely
40,983596,1633189,6705440,7,0,Intermediate,Unlikely
55,1189801,4182291,21010879,9,0,Intermediate,Unlikely
36,1387021,2727218,14629018,10,1,Advanced,Unlikely
61,3144728,9783148,29182423,4,0,Intermediate,Unlikely
18,3885694,3105550,13518075,6,0,Beginner,Moderate
53,1332367,1281998,3250089,5,2,Beginner,Unlikely
58,1264260,1361563,2186478,4,0,Intermediate,Likely
67,1496755,1339612,3099567,-2,1,Intermediate,Unlikely
41,283591,383550,896236,16,0,Intermediate,Likely
25,1212074,1664330,8874259,11,1,Intermediate,Moderate
42,523739,831313,4514742,20,3,Intermediate,Moderate
56,4677670,20542668,100000000,9,0,Intermediate,Unlikely
58,4167141,8984724,67989109,3,1,Advanced,Unlikely
57,2023507,7631841,58859066,8,0,Intermediate,Unlikely
62,235282,183026,1000868,3,2,Intermediate,Unlikely
23,2374838,2908186,17358880,15,0,Beginner,Likely
33,588010,782014,6210422,11,1,Intermediate,Unlikely
55,1983248,5619983,32476450,10,0,Advanced,Unlikely
68,4210526,18066563,91691876,-3,2,Intermediate,Unlikely
40,1364208,3386196,24198458,14,3,Intermediate,Unlikely
68,1210830,3057434,10728048,-3,0,Intermediate,Unlikely
58,649029,1321384,4649989,7,1,Advanced,Unlikely
41,1380639,349846,1445420,14,4,Beginner,Moderate
52,974853,3610050,13894561,4,0,Intermediate,Unlikely
35,1181696,3284218,14425729,1,0,Advanced,Unlikely
63,586392,2662154,4010070,2,0,Advanced,Unlikely
41,497975,819586,2963603,6,3,Beginner,Unlikely
35,571911,639026,4547072,10,1,Intermediate,Unlikely
57,371105,343590,1548504,2,0,Intermediate,Unlikely
67,1093638,4657934,29767665,-2,0,Intermediate,Unlikely
25,424891,393144,1849341,13,0,Beginner,Likely
49,4297867,13646800,100000000,5,0,Intermediate,Unlikely
45,442892,491542,3445107,10,3,Intermediate,Unlikely
48,4645670,5936489,43939732,12,1,Intermediate,Moderate
37,977402,2545735,8306543,17,0,Intermediate,Likely
63,256455,288275,624235,2,0,Advanced,Unlikely
55,4396937,7396776,16269713,10,0,Intermediate,Likely
29,291360,234408,777245,7,0,Beginner,Moderate
47,1304036,3880018,13402342,6,3,Beginner,Unlikely
64,303643,707457,3436877,1,1,Beginner,Unlikely
39,886720,1444530,9980787,2,3,Intermediate,Unlikely
28,619556,1043990,8138664,12,3,Intermediate,Unlikely
44,1469809,990788,7610236,13,2,Intermediate,Moderate
70,567033,2781219,10044064,-5,2,Intermediate,Unlikely
